All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     spades2_contigs  Assem_contigs  spades_contigs  Assem_contigs 1
# misassemblies              0                0              1               0              
    # relocations            0                0              1               0              
    # translocations         0                0              0               0              
    # inversions             0                0              0               0              
# misassembled contigs       0                0              1               0              
Misassembled contigs length  0                0              1084            0              
# local misassemblies        0                0              0               0              
# mismatches                 0                0              5               0              
# indels                     0                0              0               0              
    # short indels           0                0              0               0              
    # long indels            0                0              0               0              
Indels length                0                0              0               0              
